what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.dltk.ui,3.0.1.v20110823,"org.eclipse.dltk.ui",1403270334379
started,bundle,org.eclipse.mylyn.bugzilla.core,3.8.2.v20120916-1200,"org.eclipse.mylyn.bugzilla.core",1403270334379
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.bugzilla.ui",1403270334380
started,bundle,org.eclipse.mylyn.commons.core,3.8.2.v20120916-1200,"org.eclipse.mylyn.commons.core",1403270334380
started,bundle,org.eclipse.mylyn.commons.net,3.8.2.v20120916-1200,"org.eclipse.mylyn.commons.net",1403270334380
started,bundle,org.eclipse.mylyn.commons.notifications.core,1.0.2.v20120916-1200,"org.eclipse.mylyn.commons.notifications.core",1403270334380
started,bundle,org.eclipse.mylyn.commons.notifications.feed,1.0.2.v20120916-1200,"org.eclipse.mylyn.commons.notifications.feed",1403270334381
started,bundle,org.eclipse.mylyn.commons.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.commons.ui",1403270334381
started,bundle,org.eclipse.mylyn.commons.workbench,3.8.2.v20120916-1200,"org.eclipse.mylyn.commons.workbench",1403270334382
started,bundle,org.eclipse.mylyn.context.core,3.8.2.v20120916-1200,"org.eclipse.mylyn.context.core",1403270334382
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.context.tasks.ui",1403270334382
started,bundle,org.eclipse.mylyn.monitor.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.monitor.ui",1403270334382
started,bundle,org.eclipse.mylyn.tasks.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.tasks.ui",1403270334383
started,bundle,org.eclipse.mylyn.team.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.team.ui",1403270334384
started,bundle,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.adt",1403270334384
started,bundle,com.android.ide.eclipse.base,22.3.0.v201310242005-887826,"com.android.ide.eclipse.base",1403270334384
started,bundle,com.android.ide.eclipse.ddms,22.3.0.v201310242005-887826,"com.android.ide.eclipse.ddms",1403270334384
os,sysinfo,,,"macosx",1403270334387
arch,sysinfo,,,"x86_64",1403270334387
ws,sysinfo,,,"cocoa",1403270334387
locale,sysinfo,,,"en_US",1403270334387
processors,sysinfo,,,"4",1403270334387
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1403270334387
java.runtime.version,sysinfo,,,"1.6.0_45-b06-451-11M4406",1403270334387
java.specification.name,sysinfo,,,"Java Platform API Specification",1403270334387
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1403270334387
java.specification.version,sysinfo,,,"1.6",1403270334387
java.vendor,sysinfo,,,"Apple Inc.",1403270334387
java.version,sysinfo,,,"1.6.0_45",1403270334387
java.vm.info,sysinfo,,,"mixed mode",1403270334387
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1403270334387
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1403270334387
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1403270334387
java.vm.specification.version,sysinfo,,,"1.0",1403270334387
java.vm.vendor,sysinfo,,,"Apple Inc.",1403270334387
java.vm.version,sysinfo,,,"20.45-b01-451",1403270334387
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1403270334445
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1403270334449
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1403270334456
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1403270334550
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1403270334554
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1403270334554
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1403270334555
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403270335868
started,bundle,com.android.ide.eclipse.traceview,22.3.0.v201310242005-887826,"com.android.ide.eclipse.traceview",1403270336586
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1403270336872
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1403270336884
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1403270341522
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1403270341524
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1403270341525
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1403270341548
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1403270341575
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1403270341595
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1403270341602
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1403270341612
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1403270341648
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1403270341648
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403270343671
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403270346108
opened,view,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui.repository.RepositoriesView",1403270346222
opened,view,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui.GenericHistoryView",1403270346251
opened,view,org.eclipse.mylyn.tasks.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.tasks.ui.views.repositories",1403270346276
activated,perspective,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui.svnPerspective",1403270346294
activated,view,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui.repository.RepositoriesView",1403270346299
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1403270346309
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1403270346309
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403270355626
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1403270369926
started,bundle,org.tigris.subversion.clientadapter.javahl,1.6.17,"org.tigris.subversion.clientadapter.javahl",1403270370986
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.6.15,"org.tigris.subversion.clientadapter.svnkit",1403270370988
started,bundle,org.tmatesoft.svnkit,1.3.5.7406,"org.tmatesoft.svnkit",1403270374169
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403270376914
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1403270389590
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1403270389594
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1403270423213
activated,perspective,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui.svnPerspective",1403270425232
activated,view,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui.repository.RepositoriesView",1403270425248
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403270454365
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403270457882
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403270457938
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403270466845
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403270467173
started,bundle,com.sun.jna,3.2.7,"com.sun.jna",1403270471180
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1403270475556
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1403270475558
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1403270475561
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1403270475562
started,bundle,org.eclipse.jst.servlet.ui,1.1.502.v201202011054,"org.eclipse.jst.servlet.ui",1403270478034
started,bundle,org.eclipse.jst.jee.ui,1.0.401.v201202011107,"org.eclipse.jst.jee.ui",1403270478039
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.501.v201107261503,"org.eclipse.jst.j2ee.navigator.ui",1403270478042
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1403270478069
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1403270478071
started,bundle,org.eclipse.jst.j2ee.core,1.2.102.v201202090300,"org.eclipse.jst.j2ee.core",1403270478074
started,bundle,org.eclipse.jem,2.0.501.v201111030500,"org.eclipse.jem",1403270478081
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1403270478093
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1403270478095
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1403270478103
started,bundle,org.eclipse.jst.j2ee,1.1.503.v201202090300,"org.eclipse.jst.j2ee",1403270478116
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,"org.eclipse.jdt.launching",1403270478268
started,bundle,org.eclipse.php.core,3.1.1.201209101312,"org.eclipse.php.core",1403270479620
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403270481946
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403270484823
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403270488501
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403270488545
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403270494700
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403270495024
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403270533890
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1403270535444
